KEY,en,notes,sp,fr,de,it,pt-br,zh
EABILITY_RATLEAP_NAME,老鼠跳躍,,Brinco ratonero,Saut de rat,Rattensprung,Balzo del Ratto,Salto do Rato,老鼠跳躍
EABILITY_CATCALL_NAME,貓叫聲,,Llamada felina,Huée,Katzenjammer,Richiamo del Gatto,Cantada,貓叫聲
EABILITY_MUTATE_NAME,變異,,Mutación,Mutation,Mutation,Mutazione,Mutação,變異
EABILITY_TUMORPRISON_NAME,腫瘤牢籠,,Prisión tumoral,Prison tumeur,Tumorgefängnis,Prigione Tumorale,Prisão de Tumor,腫瘤牢籠
EABILITY_RALLYMAGGOTS_NAME,集結，蛆蟲們！,,Gusanos replegados,Ralliement d'asticots,"Auf sie, ihr Maden!","Radunatevi, Larve!","Vermes, Comigo!",集結，蛆蟲們！
EABILITY_ZAP_NAME,閃電,,Calambre,Bzzzz,Stromstoß,Zap,Zap,閃電
EABILITY_FATLEAP_NAME,胖子跳躍,,Brinco grasiento,Gros saut,Fetter Sprung,Balzo Ciccione,Salto Gorduroso,胖子跳躍
EABILITY_XLIGHTNING_NAME,X 閃電,,Rayo X,Éclair X,X-Blitz,Fulmin-X,Raio X,X 閃電
EABILITY_SLIDE_NAME,滑動,,Deslizamiento,Glissade,Rutschen,Scivolata,Deslizar,滑動
EABILITY_MCFLAMETHROWER_NAME,MC 火焰噴射器,,Lanzallamas de GM,CM&nbsp;Lance-flammes,MC-Flammenwerfer,Lanciafiamme del GM,Lança-Chamas MC,MC 火焰噴射器
EABILITY_MCBLIZZ_NAME,MC 冰暴,,Ventisca de GM,CM&nbsp;Blizzard,MC-Blizz,Bufera del GM,Nevasca MC,MC 冰暴
EABILITY_MCTHUNDER_NAME,MC 雷鳴,,Trueno de GM,CM&nbsp;Tonnerre,MC-Donner,Tuono del GM,Trovão MC,MC 雷鳴
EABILITY_D6FIZZLE_NAME,0 : 噼啪聲,,0 : Chisporroteo,0&nbsp;: Crépitement,0 : Zischen,0: Sibilo,0 : Silvo,0 : 噼啪聲
EABILITY_D6CONFUSION_NAME,1 : 混亂,,1 : Confusión,1&nbsp;: Confusion,1 : Verwirrung,1: Confusione,1 : Confusão,1 : 混亂
EABILITY_D6POOP_NAME,2 : 大便,,2 : Caca,2&nbsp;: Crotte,2 : Häufchen,2: Cacca,2 : Cocô,2 : 大便
EABILITY_D6LEECH_NAME,2 : 蟲吸,,2 : Sanguijuela,2&nbsp;: Sangsue,2 : Blutegel,2: Sanguisuga,2 : Sanguessuga,2 : 蟲吸
EABILITY_D6LASER_NAME,3 : 激光,,3 : Láser,3&nbsp;: Laser,3 : Laser,3: Laser,3 : Laser,3 : 激光
EABILITY_D6KNIVES_NAME,4 : 匕首,,4 : Cuchillos,4&nbsp;: Couteaux,4 : Messer,4: Coltelli,4 : Facas,4 : 匕首
EABILITY_D6QUAKE_NAME,4 : 震顫,,4 : Temblor,4&nbsp;: Séisme,4 : Beben,4: Terremoto,4 : Terremoto,4 : 震顫
EABILITY_D6STORM_NAME,5 : 風暴,,5 : Tormenta,5&nbsp;: Tempête,5 : Sturm,5: Tempesta,5 : Tempestade,5 : 風暴
EABILITY_D6WRATH_NAME,6 : 憤怒,,6 : Ira,6&nbsp;: Colère,6 : Zorn,6: Ira,6 : Ira,6 : 憤怒
EABILITY_ROLLDICE_NAME,擲骰！,,¡Tirada!,Roule&nbsp;!,Wurf!,Tira!,Cambalhota!,擲骰！
EABILITY_SHOVE_NAME,推搡,,Envite,Bourrade,Schubsen,Spinta,Encontrão,推搡
EABILITY_POISONKNIFE_NAME,毒刃,,Cuchillo venenoso,Couteau empoisonné,Giftmesser,Coltello Avvelenato,Faca Envenenada,毒刃
EABILITY_HEALBOMB_NAME,治療炸彈,,Bomba curativa,Bombe de soin,Heilbombe,Bomba Curativa,Bomba de Cura,治療炸彈
EABILITY_MASSHEAL_NAME,羣體治療,,Curación colectiva,Soin de masse,Massenheilung,Cura di Massa,Cura em Massa,羣體治療
EABILITY_CHAINDASH_NAME,連鎖衝刺,,Carrera encadenada,Charge en chaîne,Mehrfachansturm,Scatto a Catena,Impulso Encadeado,連鎖衝刺
EABILITY_SHADOWDAGGER_NAME,暗影匕首,,Daga sombría,Dague de l'ombre,Schattenmesser,Pugnale d'Ombra,Adaga Sombria,暗影匕首
EABILITY_GLARE_NAME,凝視,,Resplandor,Regard noir,Schlangenblick,Abbagliamento,Brilho,凝視
EABILITY_BLOW_NAME,吹氣,,Golpetazo,Choc,Hieb,Soffio,Assoprão,吹氣
EABILITY_HEALINGWORD_NAME,治療之語,,Palabra curativa,Mot guérisseur,Heilendes Wort,Parola Curativa,Palavra Curativa,治療之語
EABILITY_BEARTRAP_NAME,熊夾陷阱,,Cepo para osos,Piège à ours,Bärenfalle,Trappola per Orsi,Armadilha de Urso,熊夾陷阱
EABILITY_SPIN_NAME,旋轉,,Giro,Tour,Wirbel,Rotazione,Giro,旋轉
EABILITY_DASH_NAME,衝刺,,Carrera,Impulsion,Ansturm,Scatto,Impulso,衝刺
EABILITY_LICK_NAME,舔,,Lametón,Léchouille,Schlecker,Leccata,Lambida,舔
EABILITY_SPITGLASS_NAME,吐出玻璃,,Escupitajo de cristal,Crachat de verre,Glas spucken,Sputo di Vetro,Cuspir Vidro,吐出玻璃
EABILITY_SIRENCALL_NAME,海妖之聲,,Canto de sirena,Chant de sirène,Sirenengesang,Richiamo della Sirena,Canto da Sereia,海妖之聲
EABILITY_FURYSWIPES_NAME,狂怒連擊,,Golpes con furia,Frappes furieuses,Kratzfurie,Zampate di Furia,Golpes Furiosos,狂怒連擊
EABILITY_HITLERSWIPES_NAME,元首揮擊,,Golpes del Führer,Frappes de Führer,Kratzführer,Zampate del Führer,Golpes do Führer,元首揮擊
EABILITY_CHUMSHOT_NAME,誘餌射擊,,Tiro de cebo,Tir allié,Köderschuss,Colpo di Pastura,Disparo Amigável,誘餌射擊
EABILITY_CHUMDASH_NAME,誘餌衝刺,,Carrera de cebo,Charge alliée,Köderansturm,Scatto di Pastura,Impulso Amigável,誘餌衝刺
EABILITY_SCATTER_NAME,分散。,,Dispersión,Dispersion.,Auseinander.,Disperdetevi.,Espalhamento.,分散。
EABILITY_HIDE_NAME,隱藏。,,Pellejo,Cachez-vous.,Verstecken.,Nascondetevi.,Esconder.,隱藏。
EABILITY_MEATTENTACLE_NAME,肉觸手,,Tentáculo carnoso,Viande de tentacule,Fleischtentakel,Tentacolo di Carne,Tentáculo de Carne,肉觸手
EABILITY_LITTER_NAME,垃圾,,Basura,Détritus,Streu,Lettiera,Jogar Lixo,垃圾
EABILITY_WIGGLE_NAME,扭動,,Serpenteo,Trémoussage,Wackel,Dimenamento,Balançada,扭動
EABILITY_MEATMINION_NAME,肉爪牙,,Secuaz carnoso,Viande de serviteur,Fleischdiener,Servitore di Carne,Servo de Carne,肉爪牙
EABILITY_BLOATYEXPLODE_NAME,爆炸,,Explosión,Explosion,Explodieren,Esplosione,Explosão,爆炸
EABILITY_BLOATYEXPLODE_DESC,他爆炸,,explota,Une explosion.,er macht Bumm,lui esplode,ele faz bum,他爆炸
EABILITY_SPAWNDIP_NAME,生成蘸料,,Generación de catalino,Invocation de caca,Köttel rufen,Generazione Cacchina,Gerar Cocô,生成蘸料
EABILITY_LEECHDASH_NAME,水蛭衝刺,,Carrera de sanguijuelas,Charge de sangsue,Blutegelansturm,Scatto della Sanguisuga,Impulso Sanguessuga,水蛭衝刺
EABILITY_BUMBLEJUMP_NAME,大黃蜂跳躍,,Bumblesalto,Saut de ver glouton,Bummelsprung,Bubbosalto,Salto Confuso,大黃蜂跳躍
EABILITY_FEAST_NAME,盛宴,,Festín,Festin,Festmahl,Banchetto,Banquete,盛宴
EABILITY_BONESPURT_NAME,骨刺,,Borbotón óseo,Jet d'os,Knochensporn,Schizzo d'Ossa,Esporão Ósseo,骨刺
EABILITY_ROCKSONG_NAME,石歌,,Canción roquera,Morceau de rock,Steinlied,Canzone della Roccia,Canção de Rock,石歌
EABILITY_CHUBSPIN_NAME,肥仔旋轉,,Giro de Chub,Toupie moignon,Chub-Wirbel,Trottola di Chubs,Giro Gorduroso,肥仔旋轉
EABILITY_NUKE_NAME,核彈,,Arma nuclear,Bombe nucléaire,Atombombe,Bomba Nucleare,Nuclear,核彈
EABILITY_NUBFLUB_NAME,殘廢失誤,,Pifia de Nub,Bourde moignon,Nub-Sprung,Pasticcio di Flubs,Bochechada,殘廢失誤
EABILITY_FLUSH_NAME,沖刷,,Cisterna,Chasse d'eau,Spülung,Sciacquone,Descarga,沖刷
EABILITY_TENTICKLES_NAME,十次撓癢,,Pulpillitas,Tentaccule,Kitzler,Solletico Tentacolare,Dez Cócegas,十次撓癢
EABILITY_BOTTOMSUP_NAME,乾杯,,¡Salud!,Cul sec,Prost,Cin Cin,Inversão,乾杯
EABILITY_BOTTOMSUP_DESC,獲得5生命值。只能在站在水中時使用。,,Obtiene 5 PS. Solo puede usarse en el agua.,Confère PV&nbsp;+5. Ne peut être utilisé que dans l'eau.,Erhalte 5&nbsp;LP. Kann nur im Wasser verwendet werden.,Ottieni 5 PS. Può essere usato solo stando in acqua.,Obtenha 5 PV. Só pode ser utilizado na água.,獲得5生命值。只能在站在水中時使用。
EABILITY_LOBBEDWATERSHOT_NAME,拋投水彈,,Tiro de agua en arco,Tir aquatique en cloche,Wasserschuss,Tiro d'Acqua a Parabola,Disparo Aquático em Arco,拋投水彈
EABILITY_LOBBEDWATERSHOT_DESC,拋投水攻擊。,,Lanza un ataque acuoso en arco.,Attaque aquatique en cloche.,"Ein Wasserangriff, der Hindernisse ignoriert.",Attacco d'acqua a parabola.,Ataque Aquático em Arco.,拋投水攻擊。
EABILITY_DISGUISE_NAME,僞裝,,Disfraz,Déguisement,Tarnung,Travestimento,Disfarce,僞裝
EABILITY_COUNTERSPELL_NAME,反魔法術,,Contrahechizo,Contre-sort,Zauberkonter,Controincantesimo,Contrafeitiço,反魔法術
EABILITY_COUNTERSPELL_DESC,"反制敵人下一次施放的法術。
如果反魔法術在你下一回合之前未被觸發，則吸收該法術，獲得+2傷害和+2所有屬性提升。",,"Contrarresta el siguiente hechizo de un enemigo.
Si esta unidad no activa el contrahechizo en el siguiente turno, lo absorbe para obtener +2 de daño y +2 de aumento total.","Contre le prochain sort ennemi. Si le contre-sort ne se déclenche pas d'ici votre prochain tour, vous l'absorbez pour gagner Dégâts&nbsp;+2 et Hausse de stats&nbsp;+2.","Kontert den nächsten Zauber, den ein Gegner wirkt.
Wenn Zauberkonter bis zu deinem nächsten Zug nicht ausgelöst wurde, erhalte +2&nbsp;Schaden und +2&nbsp;Bonus auf alle Attribute.","Contrasta il prossimo incantesimo lanciato da un nemico.
Se il controincantesimo non viene attivato entro il tuo prossimo turno, lo assorbi e ottieni +2 al Danno e +2 Aumento delle Statistiche.","Contra-ataca o próximo encantamento lançado por um inimigo.
Se o contrafeitiço não for ativado no seu próximo turno, absorva-o para obter +2 de dano e +2 em todos os atributos.","反制敵人下一次施放的法術。
如果反魔法術在你下一回合之前未被觸發，則吸收該法術，獲得+2傷害和+2所有屬性提升。"
EABILITY_BRAINMISSLE_NAME,腦導彈,,Misil cerebral,Missile psy,Hirnrakete,Missile Mentale,Míssil Cerebral,腦導彈
EABILITY_BRAINMISSLE_DESC,發射一個不會失手的無限射程彈幕。,,Dispara un proyectil de alcance infinito que no puede fallar.,Tire un projectile à portée infinie qui ne rate jamais sa cible.,"Feuere ein Geschoss mit unendlicher Reichweite ab, das nicht verfehlen kann.",Spara un proiettile a raggio d'azione infinito che non può mancare il bersaglio.,Dispare um projétil de alcance infinito que não pode errar.,發射一個不會失手的無限射程彈幕。
EABILITY_ACIDSHOT_NAME,酸液射擊,,Tiro ácido,Tir acide,Säureschuss,Colpo Acido,Disparo Ácido,酸液射擊
EABILITY_SUCK_NAME,吸入,,Succión,Aspiration,Sauger,Risucchio,Sugar,吸入
EABILITY_SUCK_DESC,吸入一個單位，然後吐出。,,Aspira a una unidad y luego la escupe.,"Aspire une unité, puis la recrache.",Atme eine Einheit ein und spucke sie anschließend aus.,Inala un'unita e poi la sputa via.,Inale uma unidade e então cuspa-a.,吸入一個單位，然後吐出。
EABILITY_WOLFLEAP_NAME,狼躍,,Brinco lobuno,Bond de loup,Wolfsprung,Salto del Lupo,Salto do Lobo,狼躍
EABILITY_DOOM_NAME,末日,,Condenación,MALHEUR,TODESURTEIL,SCIAGURA,PERDIÇÃO,末日
EABILITY_LEECHES_NAME,水蛭,,Sanguijuelas,Sangsues,Blutegel,Sanguisughe,Sanguessugas,水蛭
EABILITY_LEAVE_NAME,離開,,Abandono,Partir,Verlassen,Esci,Partir,離開
EABILITY_RETURN_NAME,返回,,Regreso,Revenir,Rückkehr,Ritorna,Retornar,返回
EABILITY_SPIDERSPAWN_NAME,蜘蛛孢子,,Generación de araña,Invocation d'araignée,Spinne rufen,Generazione Ragno,Gerar Aranha,蜘蛛孢子
EABILITY_WEB_NAME,蛛網,,Telaraña,Toile,Netz,Ragnatela,Teia,蛛網
EABILITY_SPAWNSPIDERLING_NAME,生成蜘蛛幼體,,Generación de arañitas,Invocation de jeunes araignées,Spinnenlinge rufen,Generazione Ragnetti,Gerar Aranhinhas,生成蜘蛛幼體
EABILITY_GOINSANE_NAME,發瘋！,,¡Locura!,Perds la raison&nbsp;!,Durchdrehen!,Impazzisci!,Enlouquecer!,發瘋！
EABILITY_CALMDOWN_NAME,冷靜！,,¡Tranquilidad!,On se calme&nbsp;!,Beruhigen!,Calmati!,Acalmar-se!,冷靜！
EABILITY_BUTTWEB_NAME,屁股網,,Telaraña anal,Toile du cul,Arschnetz,Ragnatela del Sedere,Teia de Bumbum,屁股網
EABILITY_FLIP_NAME,翻轉,,Vuelta,Flip flap,Flip,Capriola,Virada,翻轉
EABILITY_FART_NAME,放屁,,Pedo,Pet,Furz,Scoreggia,Pum,放屁
EABILITY_SPAWNWISP_NAME,生成幽靈,,Generación de avispa,Invocation de feu follet,Irrlicht rufen,Generazione Fuoco Fatuo,Gerar Fogo-Fátuo,生成幽靈
EABILITY_BOMBTOSS_NAME,投擲炸彈,,Lanzamiento de bomba,Lancer de bombe,Bombenwurf,Lancio di Bomba,Lançamento de Bomba,投擲炸彈
EABILITY_CONVERT_NAME,轉換,,Conversión,Conversion,Konvertieren,Conversione,Conversão,轉換
EABILITY_ZEALOT_NAME,狂熱者,,Fanatismo,Zélote,Fanatiker,Zelota,Fanatismo,狂熱者
EABILITY_BONESHOT_NAME,骨射,,Tiro óseo,Tir d'os,Knochenschuss,Colpo d'Ossa,Disparo Ósseo,骨射
EABILITY_SANDRUSH_NAME,沙塵衝刺,,Embestida arenosa,Charge sableuse,Sandrausch,Scatto di Sabbia,Ataque de Areia,沙塵衝刺
EABILITY_EAT_NAME,喫,,Comida,Manger,Essen,Mangia,Comer,喫
EABILITY_POISONATTACK_NAME,毒攻擊,,Ataque venenoso,Attaque empoisonnée,Giftangriff,Attacco Velenoso,Ataque Venenoso,毒攻擊
EABILITY_STING_NAME,刺針,,Picadura,Piqûre,Stich,Puntura,Ferroada,刺針
EABILITY_GRAPPLE_NAME,鎖喉,,Sujeción,Baston,Zupacken,Grappino,Agarrar,鎖喉
EABILITY_SHOOTGUN_NAME,開槍,,Disparo de arma,Tir de fusil,Revolver,Colpo di Pistola,Disparo de Arma,開槍
EABILITY_RELOAD_NAME,重新裝填,,Recarga,Recharge,Nachladen,Ricarica,Recarregamento,重新裝填
EABILITY_HUG_NAME,擁抱,,Abrazo,Câlin,Umarmung,Abbraccio,Abraço,擁抱
EABILITY_DROPCAT_NAME,掉落貓,,Gato suelto,Lâcher de chat,Katze fallen lassen,Rilascio del Gatto,Soltar Gato,掉落貓
EABILITY_CATSLAP_NAME,拍打貓,,Garfada felina,Baffe de chat,Katzenschlag,Schiaffo del Gatto,Tapa Felino,拍打貓
EABILITY_BIGSPIN_NAME,大旋轉,,Giro grande,Grand tour,Großer Wirbel,Grossa Rotazione,Grande Giro,大旋轉
EABILITY_RADIATE_NAME,輻射,,Radiación,Rayonnement,Ausstrahlen,Irradiazione,Irradiar,輻射
EABILITY_CRACKLE_NAME,噼啪聲,,Crujido,Crépitement,Knistern,Crepitio,Estalo,噼啪聲
EABILITY_BLESS_NAME,祝福,,Bendición,Grâce,Segnen,Benedizione,Abençoar,祝福
EABILITY_FEELGOODDRUGS_NAME,感受良藥,,Estimulantes,Drogues agréables,Das gute Zeug,Medicine del Buonumore,Drogas Boas,感受良藥
EABILITY_FEELBADDRUGS_NAME,感受惡藥,,Depresivos,Drogues désagréables,Das schlechte Zeug,Medicine del Malumore,Drogas Ruins,感受惡藥
EABILITY_RECHARGE_NAME,充能,,Recarga,Recharger,Aufladen,Alimentazione,Recarga,充能
EABILITY_KILLDOZE_NAME,殺戮重擊,,Devastación,Killdoze,Killdozer,Killdoze,Demolição Mortal,殺戮重擊
EABILITY_GUNKBALL_NAME,污泥球,,Bola de pringue,Boule de crasse,Schmierball,Palla di Poltiglia,Bola de Gosma,污泥球
EABILITY_TELEKENESIS_NAME,念動力,,Telequinesis,Télékinésie,Telekinese,Telecinesi,Telecinese,念動力
EABILITY_MINDCONTROL_NAME,精神控制,,Control mental,Contrôle psychique,Gedankenkontrolle,Controllo Mentale,Controle Mental,精神控制
EABILITY_MAGICMISSLE_NAME,魔法導彈,,Misil mágico,Missile magique,Magisches Geschoss,Missile Magico,Míssil Mágico,魔法導彈
EABILITY_MINDBLAST_NAME,心靈爆發,,Explosión mental,Frappe psychique,Gedankenexplosion,Esplosione Mentale,Explosão Mental,心靈爆發
EABILITY_MEGAMINDBLAST_NAME,超級心靈爆發,,Megaexplosión mental,Méga frappe psychique,Riesige Gedankenexplosion,Mega Esplosione Mentale,Mega Explosão Mental,超級心靈爆發
EABILITY_SPROUT_NAME,萌芽,,Verdugón,Pousse,Schössling,Germoglio,Broto,萌芽
EABILITY_QUAKEJUMP_NAME,地震跳躍,,Salto tembloroso,Saut sismique,Bebensprung,Salto Sismico,Pulo Terremoto,地震跳躍
EABILITY_HEALINGGAS_NAME,治療氣體,,Gas curativo,Gaz guérisseur,Heilgas,Gas Curativo,Gás Curativo,治療氣體
EABILITY_THORNUP_NAME,刺甲提升,,Espina lista,Pic et pic,Dornen hoch,Spina +,Espinhamento,刺甲提升
EABILITY_SHOT_NAME,射擊,,Tiro,Tir,Schuss,Colpo,Disparo,射擊
EABILITY_CONSUME_NAME,消耗！,,Consumo,Consommation,Konsumieren!,Consuma!,Consumir!,消耗！
EABILITY_PUKEWAVE_NAME,嘔吐波,,Onda vomitiva,Vague de vomi,Kotzwelle,Onda di Vomito,Onda de Vômito,嘔吐波
